# E_gamma(MeV)   Spectrum
6.391620e+01 5.442274e+16
6.724430e+01 4.564937e+16
7.074560e+01 3.810074e+16
7.442920e+01 3.165122e+16
7.830470e+01 2.623580e+16
8.238190e+01 2.158943e+16
8.667140e+01 1.771942e+16
9.118430e+01 1.459180e+16
9.593210e+01 1.208008e+16
1.009270e+02 1.015600e+16
1.061820e+02 8.576911e+15
1.117110e+02 7.249023e+15
1.175280e+02 6.096568e+15
1.236470e+02 5.074657e+15
1.300850e+02 4.182703e+15
1.368590e+02 3.415984e+15
1.439850e+02 2.780918e+15
1.514820e+02 2.246417e+15
1.593690e+02 1.792696e+15
1.676680e+02 1.407758e+15
1.763980e+02 1.076325e+15
1.855830e+02 7.972235e+14
1.952460e+02 5.744402e+14
2.054120e+02 3.994070e+14
2.161070e+02 2.719812e+14
2.273600e+02 1.814799e+14
2.391980e+02 1.185256e+14
2.516530e+02 7.689402e+13
2.647560e+02 4.846639e+13
2.785410e+02 3.010883e+13
2.930450e+02 1.871941e+13
3.083030e+02 1.123796e+13
3.243560e+02 6.569531e+12
3.412450e+02 3.668237e+12
3.590130e+02 1.920223e+12
3.777060e+02 9.727657e+11
3.973730e+02 4.606112e+11
4.180640e+02 2.161176e+11
4.398320e+02 1.034162e+11
4.627330e+02 4.630125e+10
4.868270e+02 1.909523e+10
5.121760e+02 7.229267e+09
5.388440e+02 2.569810e+09
5.669010e+02 9.758656e+08
5.964180e+02 3.301855e+08
6.274730e+02 9.768778e+07
6.601450e+02 2.927084e+07
6.945180e+02 7.888406e+06
7.306800e+02 2.085407e+06
7.687260e+02 4.880447e+05
8.087520e+02 9.793005e+04
8.508630e+02 2.173529e+04
8.951660e+02 3.830006e+03
9.417770e+02 6.094519e+02
9.908140e+02 1.038517e+02
1.042400e+03 1.214552e+01
1.096680e+03 1.761523e+00
1.153780e+03 1.975936e-01
1.213860e+03 1.367733e-02
1.277060e+03 1.423822e-03
1.343560e+03 9.333983e-05
1.413520e+03 6.685314e-06
1.487120e+03 3.921449e-07
1.564550e+03 1.551306e-08
1.646010e+03 8.107867e-10
1.731720e+03 2.929076e-11
1.821890e+03 9.112836e-13
1.916750e+03 2.148848e-14
2.016550e+03 4.652764e-16
2.121550e+03 8.671769e-18
2.232020e+03 1.207942e-19
2.348230e+03 1.328545e-21
2.470500e+03 1.201364e-23
2.599140e+03 9.054005e-26
2.734470e+03 4.506632e-28
2.876850e+03 1.958766e-30
3.026650e+03 6.244240e-33
3.184240e+03 1.326797e-35
3.350040e+03 2.493180e-38
3.524470e+03 2.743344e-41
3.707990e+03 2.489139e-44
3.901060e+03 1.382490e-47
4.104180e+03 5.927362e-51
