E,FSR_primary,FSR_secondary,IFA_primary,IFA_secondary,direct_gamma_primary,direct_gamma_secondary,total,total_primary,total_secondary
2.48193,1.030561e+20,2.79325e+20,7.339595e+20,2.2501e+21,49388700000.00003,3.5027399995e+20,3.716714599999389e+21,8.370156000493887e+20,2.87969899995e+21
2.61116,9.793758e+19,2.638076e+20,6.970913e+20,2.126235e+21,57295600000.0,3.6470699994e+20,3.549778479997296e+21,7.950288800572956e+20,2.7547495999400004e+21
2.74712,9.307235e+19,2.49081e+20,6.620875e+20,2.008797e+21,66468299999.99997,3.8350199993e+20,3.396539849996468e+21,7.551598500664683e+20,2.6413799999299996e+21
2.89016,8.84479e+19,2.35107e+20,6.288571e+20,1.897504e+21,77109599999.99997,4.0182599992e+20,3.2517419999971094e+21,7.173050000771096e+20,2.53443699992e+21
3.04065,8.405227e+19,2.218486e+20,5.97314e+20,1.79206e+21,89454499999.99997,4.1914499991e+20,3.114419869999455e+21,6.813662700894544e+20,2.43305359991e+21
3.19897,7.987435e+19,2.094132e+20,5.673748e+20,1.692191e+21,103776000000.0,4.360319999e+20,2.9848853500037756e+21,6.47249150103776e+20,2.3376361998999998e+21
3.36553,7.590328e+19,1.974927e+20,5.389595e+20,1.597623e+21,120390000000.00005,4.5534499988e+20,2.86532348000039e+21,6.1486278012039e+20,2.25046069988e+21
3.54077,7.212858e+19,1.861876e+20,5.119924e+20,1.508095e+21,139664000000.00006,4.7085499986e+20,2.749258579999664e+21,5.84120980139664e+20,2.16513759986e+21
3.72514,6.854061e+19,1.754673e+20,4.864e+20,1.423342e+21,162023000000.0,4.8765599984e+20,2.641405910002023e+21,5.54940610162023e+20,2.08646529984e+21
3.9191,6.51304e+19,1.653047e+20,4.621131e+20,1.343134e+21,187962000000.0,5.0485199981e+20,2.5405341999979624e+21,5.2724350018796205e+20,2.01329069981e+21
4.12316,6.188895e+19,1.556713e+20,4.390654000000001e+20,1.267229e+21,218054000000.00015,5.2378499978e+20,2.447639649998054e+21,5.009543502180541e+20,1.94668529978e+21
4.33785,5.880787000000001e+19,1.465417e+20,4.171939e+20,1.195403e+21,252964000000.00015,5.3871099975e+20,2.356657470002964e+21,4.76001770252964e+20,1.88065569975e+21
4.56372,5.587927e+19,1.378913e+20,3.964384e+20,1.12744e+21,293462000000.0,5.5269199971e+20,2.270340970003462e+21,4.52317670293462e+20,1.81802329971e+21
4.80134,5.309574e+19,1.298589e+20,3.767416e+20,1.063135e+21,340443999999.9998,5.7031999966e+20,2.193151240000444e+21,4.29837340340444e+20,1.76331389966e+21
5.05134,5.04499e+19,1.221056e+20,3.580491e+20,1.002292e+21,394948000000.0,5.8377799961e+20,2.116674600004948e+21,4.08499000394948e+20,1.70817559961e+21
5.31436,4.7935e+19,1.147644e+20,3.403093e+20,9.44727e+20,458177000000.0,5.9856299954e+20,2.046298699998177e+21,3.8824430045817694e+20,1.6580543995400002e+21
5.59107,4.554461e+19,1.078148e+20,3.23473e+20,8.902623e+20,531529000000.0,6.1073899947e+20,1.977833710001529e+21,3.6901761053152897e+20,1.60881609947e+21
5.88219,4.327252e+19,1.012381e+20,3.074937e+20,8.387325e+20,616624000000.0,6.2617599938e+20,1.916912819996624e+21,3.50766220616624e+20,1.56614659938e+21
6.18847,4.111288e+19,9.501582e+19,2.923267e+20,7.8998e+20,715343000000.0,6.3820699928e+20,1.856642399995343e+21,3.33439580715343e+20,1.52320281928e+21
6.51069,3.906018e+19,8.913064e+19,2.779301e+20,7.438559e+20,829866000000.0,6.4896899917e+20,1.798945819999866e+21,3.1699028082986595e+20,1.48195553917e+21
6.8497,3.710902e+19,8.356579e+19,2.642639e+20,7.002186e+20,962724000000.0,6.6169299904e+20,1.7468503100027243e+21,3.01372920962724e+20,1.4454773890400002e+21
7.20635,3.525449e+19,7.830599e+19,2.512903e+20,6.589352e+20,1116849999999.9995,6.7076199888e+20,1.6945479799968503e+21,2.8654479111685e+20,1.4080031888800002e+21
7.58158,3.349172e+19,7.3336e+19,2.389733e+20,6.198793e+20,1295650000000.0,6.801209987e+20,1.6458013199956498e+21,2.7246502129564998e+20,1.3733362987e+21
7.97634,3.181623e+19,6.864126e+19,2.272791e+20,5.829321e+20,1503080000000.0,6.858969985e+20,1.59656569000308e+21,2.5909533150308e+20,1.3374703585000001e+21
8.39166,3.022366e+19,6.420817e+19,2.161754e+20,5.479821e+20,1743720000000.0,6.9542899826e+20,1.5540183300037198e+21,2.4639906174372e+20,1.30761926826e+21
8.8286,2.870995e+19,6.002424e+19,2.056318e+20,5.14923e+20,2022879999999.999,7.0060399798e+20,1.50989299000288e+21,2.3434175202288e+20,1.27555123798e+21
9.28829,2.727116e+19,5.607695e+19,1.956192e+20,4.836551e+20,2346740000000.0,7.0696299765e+20,1.4695854099967398e+21,2.2289036234674e+20,1.24669504765e+21
9.77192,2.590359e+19,5.23545e+19,1.861101e+20,4.540841e+20,2722440000000.0,7.1075399728e+20,1.42920629000244e+21,2.1201369272243998e+20,1.21719259728e+21
10.2807,2.46038e+19,4.90243e+19,1.770785e+20,4.261209e+20,3158290000000.0,7.1300299684e+20,1.38983049999829e+21,2.0168230315829e+20,1.18814819684e+21
10.816,2.336828e+19,4.572065e+19,1.684994e+20,3.996801e+20,3663920000000.002,7.1509799634e+20,1.35236643000392e+21,1.9186768366392e+20,1.16049874634e+21
11.3792,2.219388e+19,4.260963e+19,1.603496e+20,3.746834e+20,4250490000000.0,7.1465299575e+20,1.31448951000049e+21,1.8254348425049e+20,1.1319460257499999e+21
11.9717,2.107767e+19,3.968087e+19,1.526069e+20,3.51056e+20,4930980000000.0,7.1638199507e+20,1.28080344000098e+21,1.7368457493097998e+20,1.1071188650699999e+21
12.5951,2.001664e+19,3.692544e+19,1.452504e+20,3.287281e+20,5720400000000.0,7.1423299428e+20,1.2451535800004e+21,1.652670457204e+20,1.07988653428e+21
13.2509,1.900824e+19,3.433449e+19,1.382603e+20,3.076326e+20,6636210000000.0,7.1200099336e+20,1.21123662999621e+21,1.5726854663620998e+20,1.0539680833600001e+21
13.9408,1.804984e+19,3.189981e+19,1.316177e+20,2.877073e+20,7698640000000.0,7.061849923e+20,1.1754596499986399e+21,1.4966754769864e+20,1.0257921022999999e+21
14.6667,1.713879e+19,2.961282e+19,1.25305e+20,2.68893e+20,8931160000000.004,7.0213899107e+20,1.1430886100011601e+21,1.4244379893116e+20,1.0006448110700001e+21
15.4304,1.627285e+19,2.746621e+19,1.193048e+20,2.511331e+20,10361000000000.0,6.9464998964e+20,1.1088269600009999e+21,1.35577660361e+20,9.732492996399999e+20
